ID,AID,Type,BdID,LinkID
782,1,0,0,0
783,2,0,0,0
784,3,0,0,0
785,4,0,0,0
787,5,0,0,0
788,6,0,0,0
790,7,0,0,0
791,8,0,0,0
792,9,0,0,0
793,10,0,0,0
794,11,0,0,0
795,12,0,0,0
796,13,0,0,0
797,14,0,0,0
799,15,0,0,0
836,16,0,0,0
877,17,0,0,0
878,18,0,0,0
911,19,0,0,0
918,20,0,0,0
919,21,0,0,0
920,22,0,0,0
921,23,0,0,0
922,24,0,0,0
923,25,0,0,0
3170,26,0,0,0
3171,27,0,0,0
3172,28,0,0,0
3173,29,0,0,0
3174,30,0,0,0
3175,31,0,0,0
3176,32,0,0,0
3177,33,0,0,0
3178,34,0,0,0
3179,35,0,0,0
3180,36,0,0,0
3181,37,0,0,0
3182,38,0,0,0
3183,39,0,0,0
3184,40,0,0,0
3185,41,0,0,0
3186,42,0,0,0
3187,43,0,0,0
3188,44,0,0,0
3189,45,0,0,0
3190,46,0,0,0
3191,47,0,0,0
3192,48,0,0,0
3193,49,0,0,0
3194,50,0,0,0
3195,51,0,0,0
3196,52,0,0,0
3197,53,0,0,0
3200,54,0,0,0
3201,55,0,0,0
3202,56,0,0,0
3203,57,0,0,0
3204,58,0,0,0
3205,59,0,0,0
3206,60,0,0,0
3207,61,0,0,0
3217,62,0,0,0
3218,63,0,0,0
3219,64,0,0,0
3220,65,0,0,0
3221,66,0,0,0
3222,67,0,0,0
3223,68,0,0,0
3224,69,0,0,0
3225,70,0,0,0
3226,71,0,0,0
3233,72,0,0,0
3234,73,0,0,0
3235,74,0,0,0
3236,75,0,0,0
3237,76,0,0,0
3238,77,0,0,0
3239,78,0,0,0
3240,79,0,0,0
3241,80,0,0,0
